month,day,hour,minute,ghi_w_m2,cloud_cover,season
1,1,0,0,0.0,0.11,Winter
1,1,0,15,0.0,0.11,Winter
1,1,0,30,0.0,0.11,Winter
1,1,0,45,0.0,0.11,Winter
1,1,1,0,0.0,0.11,Winter
1,1,1,15,0.0,0.11,Winter
1,1,1,30,0.0,0.11,Winter
1,1,1,45,0.0,0.11,Winter
1,1,2,0,0.0,0.11,Winter
1,1,2,15,0.0,0.11,Winter
1,1,2,30,0.0,0.11,Winter
1,1,2,45,0.0,0.11,Winter
1,1,3,0,0.0,0.11,Winter
1,1,3,15,0.0,0.11,Winter
1,1,3,30,0.0,0.11,Winter
1,1,3,45,0.0,0.11,Winter
1,1,4,0,0.0,0.11,Winter
1,1,4,15,0.0,0.11,Winter
1,1,4,30,0.0,0.11,Winter
1,1,4,45,0.0,0.11,Winter
1,1,5,0,0.0,0.11,Winter
1,1,5,15,0.0,0.11,Winter
1,1,5,30,0.0,0.11,Winter
1,1,5,45,0.0,0.11,Winter
1,1,6,0,0.0,0.11,Winter
1,1,6,15,0.0,0.11,Winter
1,1,6,30,0.0,0.11,Winter
1,1,6,45,0.0,0.11,Winter
1,1,7,0,0.0,0.11,Winter
1,1,7,15,46.29,0.11,Winter
1,1,7,30,91.42,0.11,Winter
1,1,7,45,137.89,0.11,Winter
1,1,8,0,186.82,0.11,Winter
1,1,8,15,221.62,0.11,Winter
1,1,8,30,278.91,0.11,Winter
1,1,8,45,319.05,0.11,Winter
1,1,9,0,359.75,0.11,Winter
1,1,9,15,396.72,0.11,Winter
1,1,9,30,409.4,0.11,Winter
1,1,9,45,468.73,0.11,Winter
1,1,10,0,485.15,0.11,Winter
1,1,10,15,523.46,0.11,Winter
1,1,10,30,540.19,0.11,Winter
1,1,10,45,580.03,0.11,Winter
1,1,11,0,584.13,0.11,Winter
1,1,11,15,579.31,0.11,Winter
1,1,11,30,611.13,0.11,Winter
1,1,11,45,634.95,0.11,Winter
1,1,12,0,600.01,0.11,Winter
1,1,12,15,619.91,0.11,Winter
1,1,12,30,613.18,0.11,Winter
1,1,12,45,600.79,0.11,Winter
1,1,13,0,604.48,0.11,Winter
1,1,13,15,596.87,0.11,Winter
1,1,13,30,592.41,0.11,Winter
1,1,13,45,579.92,0.11,Winter
1,1,14,0,545.67,0.11,Winter
1,1,14,15,497.35,0.11,Winter
1,1,14,30,505.8,0.11,Winter
1,1,14,45,459.57,0.11,Winter
1,1,15,0,442.24,0.11,Winter
1,1,15,15,402.78,0.11,Winter
1,1,15,30,361.18,0.11,Winter
1,1,15,45,310.37,0.11,Winter
1,1,16,0,269.96,0.11,Winter
1,1,16,15,230.47,0.11,Winter
1,1,16,30,189.03,0.11,Winter
1,1,16,45,134.23,0.11,Winter
1,1,17,0,95.01,0.11,Winter
1,1,17,15,46.29,0.11,Winter
1,1,17,30,0.0,0.11,Winter
1,1,17,45,0.0,0.11,Winter
1,1,18,0,0.0,0.11,Winter
1,1,18,15,0.0,0.11,Winter
1,1,18,30,0.0,0.11,Winter
1,1,18,45,0.0,0.11,Winter
1,1,19,0,0.0,0.11,Winter
1,1,19,15,0.0,0.11,Winter
1,1,19,30,0.0,0.11,Winter
1,1,19,45,0.0,0.11,Winter
1,1,20,0,0.0,0.11,Winter
1,1,20,15,0.0,0.11,Winter
1,1,20,30,0.0,0.11,Winter
1,1,20,45,0.0,0.11,Winter
1,1,21,0,0.0,0.11,Winter
1,1,21,15,0.0,0.11,Winter
1,1,21,30,0.0,0.11,Winter
1,1,21,45,0.0,0.11,Winter
1,1,22,0,0.0,0.11,Winter
1,1,22,15,0.0,0.11,Winter
1,1,22,30,0.0,0.11,Winter
1,1,22,45,0.0,0.11,Winter
1,1,23,0,0.0,0.11,Winter
1,1,23,15,0.0,0.11,Winter
1,1,23,30,0.0,0.11,Winter
1,1,23,45,0.0,0.11,Winter
1,2,0,0,0.0,0.33,Winter
1,2,0,15,0.0,0.33,Winter
1,2,0,30,0.0,0.33,Winter
1,2,0,45,0.0,0.33,Winter
1,2,1,0,0.0,0.33,Winter
1,2,1,15,0.0,0.33,Winter
1,2,1,30,0.0,0.33,Winter
1,2,1,45,0.0,0.33,Winter
1,2,2,0,0.0,0.33,Winter
1,2,2,15,0.0,0.33,Winter
1,2,2,30,0.0,0.33,Winter
1,2,2,45,0.0,0.33,Winter
1,2,3,0,0.0,0.33,Winter
1,2,3,15,0.0,0.33,Winter
1,2,3,30,0.0,0.33,Winter
1,2,3,45,0.0,0.33,Winter
1,2,4,0,0.0,0.33,Winter
1,2,4,15,0.0,0.33,Winter
1,2,4,30,0.0,0.33,Winter
1,2,4,45,0.0,0.33,Winter
1,2,5,0,0.0,0.33,Winter
1,2,5,15,0.0,0.33,Winter
1,2,5,30,0.0,0.33,Winter
1,2,5,45,0.0,0.33,Winter
1,2,6,0,0.0,0.33,Winter
1,2,6,15,0.0,0.33,Winter
1,2,6,30,0.0,0.33,Winter
1,2,6,45,0.0,0.33,Winter
1,2,7,0,0.0,0.33,Winter
1,2,7,15,37.48,0.33,Winter
1,2,7,30,75.74,0.33,Winter
1,2,7,45,115.48,0.33,Winter
1,2,8,0,152.4,0.33,Winter
1,2,8,15,194.38,0.33,Winter
1,2,8,30,227.7,0.33,Winter
1,2,8,45,268.05,0.33,Winter
1,2,9,0,287.6,0.33,Winter
1,2,9,15,335.36,0.33,Winter
1,2,9,30,355.23,0.33,Winter
1,2,9,45,375.96,0.33,Winter
1,2,10,0,398.18,0.33,Winter
1,2,10,15,443.29,0.33,Winter
1,2,10,30,441.49,0.33,Winter
1,2,10,45,459.69,0.33,Winter
1,2,11,0,490.57,0.33,Winter
1,2,11,15,512.52,0.33,Winter
1,2,11,30,490.38,0.33,Winter
1,2,11,45,520.94,0.33,Winter
1,2,12,0,528.52,0.33,Winter
1,2,12,15,542.39,0.33,Winter
1,2,12,30,508.67,0.33,Winter
1,2,12,45,530.5,0.33,Winter
1,2,13,0,524.9,0.33,Winter
1,2,13,15,491.95,0.33,Winter
1,2,13,30,479.54,0.33,Winter
1,2,13,45,456.59,0.33,Winter
1,2,14,0,452.41,0.33,Winter
1,2,14,15,415.5,0.33,Winter
1,2,14,30,403.36,0.33,Winter
1,2,14,45,395.28,0.33,Winter
1,2,15,0,368.17,0.33,Winter
1,2,15,15,319.78,0.33,Winter
1,2,15,30,300.05,0.33,Winter
1,2,15,45,263.06,0.33,Winter
1,2,16,0,233.22,0.33,Winter
1,2,16,15,190.36,0.33,Winter
1,2,16,30,156.82,0.33,Winter
1,2,16,45,113.66,0.33,Winter
1,2,17,0,75.78,0.33,Winter
1,2,17,15,37.69,0.33,Winter
1,2,17,30,0.0,0.33,Winter
1,2,17,45,0.0,0.33,Winter
1,2,18,0,0.0,0.33,Winter
1,2,18,15,0.0,0.33,Winter
1,2,18,30,0.0,0.33,Winter
1,2,18,45,0.0,0.33,Winter
1,2,19,0,0.0,0.33,Winter
1,2,19,15,0.0,0.33,Winter
1,2,19,30,0.0,0.33,Winter
1,2,19,45,0.0,0.33,Winter
1,2,20,0,0.0,0.33,Winter
1,2,20,15,0.0,0.33,Winter
1,2,20,30,0.0,0.33,Winter
1,2,20,45,0.0,0.33,Winter
1,2,21,0,0.0,0.33,Winter
1,2,21,15,0.0,0.33,Winter
1,2,21,30,0.0,0.33,Winter
1,2,21,45,0.0,0.33,Winter
1,2,22,0,0.0,0.33,Winter
1,2,22,15,0.0,0.33,Winter
1,2,22,30,0.0,0.33,Winter
1,2,22,45,0.0,0.33,Winter
1,2,23,0,0.0,0.33,Winter
1,2,23,15,0.0,0.33,Winter
1,2,23,30,0.0,0.33,Winter
1,2,23,45,0.0,0.33,Winter
1,3,0,0,0.0,0.39,Winter
1,3,0,15,0.0,0.39,Winter
1,3,0,30,0.0,0.39,Winter
1,3,0,45,0.0,0.39,Winter
1,3,1,0,0.0,0.39,Winter
1,3,1,15,0.0,0.39,Winter
1,3,1,30,0.0,0.39,Winter
1,3,1,45,0.0,0.39,Winter
1,3,2,0,0.0,0.39,Winter
1,3,2,15,0.0,0.39,Winter
1,3,2,30,0.0,0.39,Winter
1,3,2,45,0.0,0.39,Winter
1,3,3,0,0.0,0.39,Winter
1,3,3,15,0.0,0.39,Winter
1,3,3,30,0.0,0.39,Winter
1,3,3,45,0.0,0.39,Winter
1,3,4,0,0.0,0.39,Winter
1,3,4,15,0.0,0.39,Winter
1,3,4,30,0.0,0.39,Winter
1,3,4,45,0.0,0.39,Winter
1,3,5,0,0.0,0.39,Winter
1,3,5,15,0.0,0.39,Winter
1,3,5,30,0.0,0.39,Winter
1,3,5,45,0.0,0.39,Winter
1,3,6,0,0.0,0.39,Winter
1,3,6,15,0.0,0.39,Winter
1,3,6,30,0.0,0.39,Winter
1,3,6,45,0.0,0.39,Winter
1,3,7,0,0.0,0.39,Winter
1,3,7,15,37.72,0.39,Winter
1,3,7,30,75.56,0.39,Winter
1,3,7,45,109.06,0.39,Winter
1,3,8,0,146.56,0.39,Winter
1,3,8,15,178.48,0.39,Winter
1,3,8,30,214.28,0.39,Winter
1,3,8,45,244.15,0.39,Winter
1,3,9,0,278.27,0.39,Winter
1,3,9,15,306.7,0.39,Winter
1,3,9,30,327.46,0.39,Winter
1,3,9,45,363.0,0.39,Winter
1,3,10,0,400.14,0.39,Winter
1,3,10,15,406.76,0.39,Winter
1,3,10,30,444.73,0.39,Winter
1,3,10,45,436.76,0.39,Winter
1,3,11,0,457.14,0.39,Winter
1,3,11,15,471.37,0.39,Winter
1,3,11,30,499.11,0.39,Winter
1,3,11,45,483.16,0.39,Winter
1,3,12,0,484.31,0.39,Winter
1,3,12,15,495.78,0.39,Winter
1,3,12,30,504.31,0.39,Winter
1,3,12,45,475.04,0.39,Winter
1,3,13,0,479.66,0.39,Winter
1,3,13,15,467.89,0.39,Winter
1,3,13,30,462.83,0.39,Winter
1,3,13,45,442.04,0.39,Winter
1,3,14,0,425.08,0.39,Winter
1,3,14,15,414.05,0.39,Winter
1,3,14,30,393.81,0.39,Winter
1,3,14,45,353.2,0.39,Winter
1,3,15,0,348.48,0.39,Winter
1,3,15,15,317.4,0.39,Winter
1,3,15,30,287.5,0.39,Winter
1,3,15,45,256.02,0.39,Winter
1,3,16,0,221.07,0.39,Winter
1,3,16,15,178.7,0.39,Winter
1,3,16,30,143.98,0.39,Winter
1,3,16,45,107.26,0.39,Winter
1,3,17,0,72.94,0.39,Winter
1,3,17,15,38.35,0.39,Winter
1,3,17,30,0.0,0.39,Winter
1,3,17,45,0.0,0.39,Winter
1,3,18,0,0.0,0.39,Winter
1,3,18,15,0.0,0.39,Winter
1,3,18,30,0.0,0.39,Winter
1,3,18,45,0.0,0.39,Winter
1,3,19,0,0.0,0.39,Winter
1,3,19,15,0.0,0.39,Winter
1,3,19,30,0.0,0.39,Winter
1,3,19,45,0.0,0.39,Winter
1,3,20,0,0.0,0.39,Winter
1,3,20,15,0.0,0.39,Winter
1,3,20,30,0.0,0.39,Winter
1,3,20,45,0.0,0.39,Winter
1,3,21,0,0.0,0.39,Winter
1,3,21,15,0.0,0.39,Winter
1,3,21,30,0.0,0.39,Winter
1,3,21,45,0.0,0.39,Winter
1,3,22,0,0.0,0.39,Winter
1,3,22,15,0.0,0.39,Winter
1,3,22,30,0.0,0.39,Winter
1,3,22,45,0.0,0.39,Winter
1,3,23,0,0.0,0.39,Winter
1,3,23,15,0.0,0.39,Winter
1,3,23,30,0.0,0.39,Winter
1,3,23,45,0.0,0.39,Winter
1,4,0,0,0.0,0.24,Winter
1,4,0,15,0.0,0.24,Winter
1,4,0,30,0.0,0.24,Winter
1,4,0,45,0.0,0.24,Winter
1,4,1,0,0.0,0.24,Winter
1,4,1,15,0.0,0.24,Winter
1,4,1,30,0.0,0.24,Winter
1,4,1,45,0.0,0.24,Winter
1,4,2,0,0.0,0.24,Winter
1,4,2,15,0.0,0.24,Winter
1,4,2,30,0.0,0.24,Winter
1,4,2,45,0.0,0.24,Winter
1,4,3,0,0.0,0.24,Winter
1,4,3,15,0.0,0.24,Winter
1,4,3,30,0.0,0.24,Winter
1,4,3,45,0.0,0.24,Winter
1,4,4,0,0.0,0.24,Winter
1,4,4,15,0.0,0.24,Winter
1,4,4,30,0.0,0.24,Winter
1,4,4,45,0.0,0.24,Winter
1,4,5,0,0.0,0.24,Winter
1,4,5,15,0.0,0.24,Winter
1,4,5,30,0.0,0.24,Winter
1,4,5,45,0.0,0.24,Winter
1,4,6,0,0.0,0.24,Winter
1,4,6,15,0.0,0.24,Winter
1,4,6,30,0.0,0.24,Winter
1,4,6,45,0.0,0.24,Winter
1,4,7,0,0.0,0.24,Winter
1,4,7,15,42.03,0.24,Winter
1,4,7,30,85.55,0.24,Winter
1,4,7,45,123.99,0.24,Winter
1,4,8,0,166.19,0.24,Winter
1,4,8,15,205.7,0.24,Winter
1,4,8,30,237.61,0.24,Winter
1,4,8,45,281.15,0.24,Winter
1,4,9,0,312.36,0.24,Winter
1,4,9,15,363.59,0.24,Winter
1,4,9,30,377.82,0.24,Winter
1,4,9,45,410.05,0.24,Winter
1,4,10,0,454.33,0.24,Winter
1,4,10,15,456.52,0.24,Winter
1,4,10,30,487.01,0.24,Winter
1,4,10,45,501.59,0.24,Winter
1,4,11,0,545.67,0.24,Winter
1,4,11,15,539.97,0.24,Winter
1,4,11,30,558.14,0.24,Winter
1,4,11,45,570.13,0.24,Winter
1,4,12,0,566.12,0.24,Winter
1,4,12,15,578.07,0.24,Winter
1,4,12,30,582.29,0.24,Winter
1,4,12,45,550.11,0.24,Winter
1,4,13,0,544.31,0.24,Winter
1,4,13,15,559.62,0.24,Winter
1,4,13,30,519.98,0.24,Winter
1,4,13,45,520.11,0.24,Winter
1,4,14,0,472.14,0.24,Winter
1,4,14,15,463.19,0.24,Winter
1,4,14,30,443.46,0.24,Winter
1,4,14,45,402.55,0.24,Winter
1,4,15,0,391.02,0.24,Winter
1,4,15,15,350.45,0.24,Winter
1,4,15,30,307.73,0.24,Winter
1,4,15,45,294.31,0.24,Winter
1,4,16,0,244.46,0.24,Winter
1,4,16,15,214.92,0.24,Winter
1,4,16,30,169.41,0.24,Winter
1,4,16,45,127.95,0.24,Winter
1,4,17,0,83.41,0.24,Winter
1,4,17,15,43.16,0.24,Winter
1,4,17,30,0.0,0.24,Winter
1,4,17,45,0.0,0.24,Winter
1,4,18,0,0.0,0.24,Winter
1,4,18,15,0.0,0.24,Winter
1,4,18,30,0.0,0.24,Winter
1,4,18,45,0.0,0.24,Winter
1,4,19,0,0.0,0.24,Winter
1,4,19,15,0.0,0.24,Winter
1,4,19,30,0.0,0.24,Winter
1,4,19,45,0.0,0.24,Winter
1,4,20,0,0.0,0.24,Winter
1,4,20,15,0.0,0.24,Winter
1,4,20,30,0.0,0.24,Winter
1,4,20,45,0.0,0.24,Winter
1,4,21,0,0.0,0.24,Winter
1,4,21,15,0.0,0.24,Winter
1,4,21,30,0.0,0.24,Winter
1,4,21,45,0.0,0.24,Winter
